Indice;Marca;Modello;Anno;Potenza massima
1;Lamborghini;Countach;1974-1990;da 353 a 455 cv
2;Lamborghini;Jalpa;1981-1988;247 cv
3;Lamborghini;Silhouette;1976-1979;260 cv
4;Lamborghini;LM002;1986-1993;450 cv
5;Lamborghini;Diablo;1990-2001;da 492 a 595 cv
6;Lamborghini;Murcièlago;2001-2010;da 580 a 670 cv
7;Lamborghini;Gallardo;2003-2013;da 500 a 570 cv
8;Lamborghini;Aventador;2011-2022;da 700 a 780 cv
9;Lamborghini;Huracàn;2014;da 580 a 640 cv
10;Lamborghini;Urus;2018;da 650 cv a 666 cv
